League,Tier,Rate,Bigs (C/PF),Shooters (SG/SF),Slashers / D(Non-Shooters),Slashers/PGs,Rebounds,2P% Modifier,3P% Modifier,TO Modifier,CS,T High,T Low,Pace,Pace Factor,STL Modifier,BLK Modifier
Canada CEBL,5,"1,01","1,10","1,05","1,10","1,05","1,20","0,90","0,70","1,10",Low,#N/A,#N/A,"78,00","0,96","0,90","0,90"
Canada NBL,6,"0,94","0,95","0,90","0,90","1,10","1,10","0,85","0,80","1,15",Very Low,#N/A,#N/A,"78,00","0,96","0,90","0,90"
Chile LNB,7,"0,79","0,70","0,80","0,70","0,75","0,80","0,85","0,90","1,20",Estimated,#N/A,#N/A,"72,00","1,04","0,90","0,85"
China CBA,3,"1,20","1,20","1,20","1,20","1,20","1,20","1,20","1,20","1,00",Very Low,#N/A,#N/A,"78,00","0,96","1,00","1,05"
Croatia A-1 (Premijer),5,"0,95","1,00","0,95","0,90","0,90","0,90","1,05","0,95","1,05",Medium,#N/A,#N/A,"72,00","1,04","1,00","0,95"
Cyprus Division A,6,"0,85","0,90","0,85","0,85","0,85","0,90","0,90","0,95","1,15",Estimated,#N/A,#N/A,"74,00","1,01","0,90","0,85"
Czech Rep NBL (Rest),6,"0,87","0,85","0,85","0,85","0,85","0,85","0,90","0,95","1,15",Very Low,#N/A,#N/A,"72,00","1,04","0,90","0,90"
Czech Rep NBL (Top 4),5,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00",Very Low,#N/A,#N/A,"72,00","1,04","1,00","1,00"
Danish Basketligaen,6,"0,81","0,80","0,80","0,80","0,80","0,65","0,95","0,85","1,15",Medium,#N/A,#N/A,"77,00","0,97","0,85","0,80"
Estonia-Latvia (ELBL),5,"0,95","1,00","1,00","1,00","1,00","0,70","0,95","1,00","1,05",Medium,#N/A,#N/A,"75,50","0,99","0,95","0,90"
Finland Korisliiga,6,"0,98","1,00","1,10","1,05","0,90","0,95","0,98","0,90","1,20",Medium,#N/A,#N/A,"78,00","0,96","0,90","0,85"
France NM1,5,"1,02","1,00","1,00","1,00","1,00","1,25","0,95","0,95","1,05",Medium,#N/A,#N/A,"72,50","1,03","1,00","1,10"
France Pro B,4,"1,19","1,20","1,20","1,20","1,20","1,55","1,00","1,00","0,85",Medium,#N/A,#N/A,"75,00","1,00","1,00","1,15"
Georgia Superleague,6,"0,93","0,95","1,00","1,00","1,00","0,75","0,85","0,95","1,15",Low,#N/A,#N/A,"74,00","1,01","0,90","0,90"
Germany Pro A,5,"0,97","1,05","0,95","0,95","0,95","1,00","0,90","1,00","1,00",High,#N/A,#N/A,"80,00","0,94","0,90","0,90"
Germany Pro B,6,"0,89","0,85","0,85","0,85","0,85","0,85","0,85","1,10","1,15",Medium,#N/A,#N/A,"80,00","0,94","0,85","0,80"
Greece Elite League (A2),5,"1,08","1,10","1,05","1,05","1,05","1,00","1,05","1,00","0,90",Estimated,#N/A,#N/A,"71,00","1,06","1,10","1,00"
Hungary NBIA,6,"0,89","0,90","0,90","0,90","0,90","0,85","0,85","0,95","1,20",Low,#N/A,#N/A,"76,00","0,99","0,90","0,85"
Iceland Subway League,7,"0,69","0,65","0,65","0,65","0,65","0,70","0,85","0,70","1,20",Very Low,#N/A,#N/A,"80,00","0,94","0,80","0,70"
Israel NL(2nd),5,"1,03","1,05","1,00","1,00","1,05","0,95","1,00","1,00","1,00",Estimated,#N/A,#N/A,"74,00","1,01","1,00","0,95"
